keyword,status,library_id,date,page_name,page_link,sponsored,ad_text,media_url
Hi 88,Inactive,1466997571795395,27 Mar 2026 - 29 Mar 2026 · Total active time 23 hrs,Hi88 - Trang Chủ Uy Tín,https://web.facebook.com/61550563467431/,Yes,,
Hi 88,Inactive,1997944107418883,1 Feb 2026 - 10 Feb 2026,QQ88 Trải Nghiệm & Ưu Đãi,https://web.facebook.com/100093145226883/,Yes,,
Hi 88,Inactive,840358839031724,13 Feb 2026 - 21 Feb 2026,Hi88 - Lộc Vui Mỗi Ngày,https://web.facebook.com/100093452261279/,Yes,,
Hi 88,Active,4525801064313114,,Tem Xe Huy Thắng Giá Tại Xưởng,https://web.facebook.com/100086167843520/,Yes,"🚒TỔNG KHO IN TEM XE TẢI GIÁ XƯỞNG!!
👉 THIẾT KẾ TEM XE THEO YÊU CẦU KHÁCH HÀNG
- HOÀN THIỆN MẪU NHANH CHÓNG, SHIP HÀNG NHANH
👉 Tem, Decal xe Tải, Ô tô, TAXI - Mẫu gì em cũng có.
   -----------------------------
👉ĐT/ ZALO : 0339851591",https://scontent.fpnh5-4.fna.fbcdn.net/v/t39.35426-6/482829726_962713745852872_5975334201312374455_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=cNRhfNCss0oQ7kNvwF_f9Po&_nc_oc=AdpPOLbJ-e6JSl-XDQefFa1PaDXfv2sExACdydla8xesnFsdxm55SUUkXCYnECiGv5w&_nc_zt=14&_nc_ht=scontent.fpnh5-4.fna&_nc_gid=zyY0VWpYTRslT4PFOsQ7hg&_nc_ss=7f289&oh=00_Af46NH-RAmqYEQErR403mOnHaunxENKiutH8w5e8fEtInQ&oe=6A0B7211
Hi 88,Inactive,1822163535111719,23 Mar 2026 - 25 Mar 2026 · Total active time 4 hrs,Hi88 - Cơ Hội Vàng,https://web.facebook.com/61550279286242/,Yes,,
Hi 88,Inactive,1995111837706082,9 Mar 2026 - 25 Mar 2026,SC88 - Phát Quà Đầu Xuân,https://web.facebook.com/61550581536238/,Yes,,
Hi 88,Inactive,391535619877214,12 Dec 2023 - 10 Mar 2026,Мандзяк Віктор,https://web.facebook.com/trainer.viktor/,Yes,"Попіз#ілінькаємо, підпищик?",https://scontent.fpnh5-4.fna.fbcdn.net/v/t39.35426-6/409544675_379721597836747_8779834630553674536_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fR4dWwrc9ewQ7kNvwGe1QGD&_nc_oc=Adq4341XpEhTSxf28e4V_4ZkGfa6xttsSL8y9xkZuG61STUi1-WGaGUzBYCnH4W-zr4&_nc_zt=14&_nc_ht=scontent.fpnh5-4.fna&_nc_gid=zyY0VWpYTRslT4PFOsQ7hg&_nc_ss=7f289&oh=00_Af4Fql-nlbpY9Z-KlajIPn4x9UPThOc_6w_MqUX_nrPQFA&oe=6A0B82E8
Hi 88,Active,1504659461445836,𝒔ả𝒏𝒉 𝒕𝒉ượ𝒏𝒈 𝒍ư𝒖- 𝑺𝑪88,𝒔ả𝒏𝒉 𝒕𝒉ượ𝒏𝒈 𝒍ư𝒖- 𝑺𝑪88,https://web.facebook.com/61575416244313/,Yes,"HOÀN CẢNH CÔ NGUYỄN THỊ LAO
ĐỊA ĐIỂM: Vĩnh Long
- Cô Nguyễn Thị Lao là một người phụ nữ có hoàn cảnh đặc biệt khó khăn. Từ nhỏ, cô đã bị khuyết tật về mắt, thị lực rất kém nên không thể sinh hoạt và làm việc như người bình thường. Cô sống trong ngôi nhà nhỏ cũ kỹ không thể tự mình sửa chữa căn nhà mỗi khi mùa mưa đến.
- Hiện tại, cô sống đơn thân, không chồng con, phải tự mình xoay xở trong cuộc sống hằng ngày với nhiều trở ngại. Dù có người em trai sống gần nhà, nhưng em trai của cô cũng bị khuyết tật về mắt và còn phải lo cho gia đình riêng nên chỉ có thể hỗ trợ cô phần nào.
- Người cháu họ cùng vợ thay nhau chăm sóc cô mỗi khi cô không khỏe, chăm lo cho cô những vấn đề về cuộc sống hằng ngày.
- Không có nguồn thu nhập ổn định, cô Lao chỉ trông cậy vào khoản trợ cấp ít ỏi khoảng 700.000 đồng mỗi tháng từ địa phương. Thêm vào đó, cô còn mắc bệnh cao huyết áp, phải thường xuyên dùng thuốc điều trị, khiến cuộc sống vốn đã khó khăn lại càng thêm chật vật.
QUÀ TẶNG : 50 TRIỆU ĐỒNG TIỀN MẶT, 1 ĐÈN NĂNG LƯỢNG MẶT TRỜI, 1 QUẠT NĂNG LƯỢNG MẶT TRỜI, 2 THÙNG SỮA ENSURE",https://video.fpnh5-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQOQw5EIqchguasb0cuxA4vyMee3HnvR76WDZS2rRJ_m7au4hI5iJ0Diz_KbZLhH8o6kOiAqr-JDzqjKL-cwZktepSUk3hqICJa9pUJhrw.mp4?_nc_cat=103&_nc_oc=Ado5IREBpDQzjGrMZVngAxyd67gXYJqEv5tYSdnVtKOSYLau6-6RgGSHLANVo_QIMEE&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-6.fna.fbcdn.net&_nc_ohc=fNTbomfbZ8cQ7kNvwGYv66r&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNjQwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTI3ODkxNDA2MTA5MDY1NiwiYXNzZXRfYWdlX2RheXMiOjExLCJ2aV91c2VjYXNlX2lkIjoxMDEyMiwiZHVyYXRpb25fcyI6MzEzLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=zyY0VWpYTRslT4PFOsQ7hg&_nc_ss=7f289&_nc_zt=28&oh=00_Af5qn8RzaqErgnypQt2tUm9WLmCLuwsocQQ-keALsVr8gQ&oe=6A0B694B
Hi 88,Active,1070365001723096,,Trang sức bạc Hải Nam,https://web.facebook.com/trangsucbachainam/,Yes,"🧐 ĐÂY KHÔNG PHẢI 1 CHIẾC LẮC TAY BÌNH THƯỜNG !!!

👉 Hãy để bé đeo và cảm nhận sự khác biệt với trước khi đeo nhé ba mẹ ơi

🥇Chất liệu bạc ta , hàng làm tại xưởng ko qua trung gian ￼￼

⭐️ Khắc tên theo theo yêu cầu có đủ sezi và 12
con giáp cho bé ♥️

👍 ĐẶC BIỆT vòng TÙY CHỈNH được tại ưu điểm này rất nhiều mẹ hài lòng ạ!

📩INBOX ngay để được tư vấn nha các mẹ ơi.
- Kiểm tra hàng khi nhận hàng.
- Đảm bảo y hình
- Sẵn sàng đổi trả nếu giao nhầm mẫu, hàng đứt gãy
- TUYỂN sỉ -lẻ CTV toàn quốc
ĐT: 0975 324 688
Zalo: 0984 193 919",https://scontent.fpnh5-2.fna.fbcdn.net/v/t39.35426-6/517962266_1428838521651746_35851937857183899_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9GlwqMeonIwQ7kNvwEMMgAc&_nc_oc=Adq5_rf5D3LoQCQsAIxFdfCosWK1ruVVo6yBtlOtTfIG6Z5csGFPl4K1Q56ElIxsuIg&_nc_zt=14&_nc_ht=scontent.fpnh5-2.fna&_nc_gid=zyY0VWpYTRslT4PFOsQ7hg&_nc_ss=7f289&oh=00_Af7jGx1F2dMstVro6MZZcR7Me1uWeRumQdQ6ctF3Bvcy7g&oe=6A0B92B9
Hi 88,Inactive,877566351984092,25 Mar 2026 - 27 Mar 2026 · Total active time 5 hrs,Hi88 - Trang Chủ Uy Tín,https://web.facebook.com/61550563467431/,Yes,,
